#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Aug 07 14:52:53 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       sdram_top_map.ncd
#OUTPUT FILE:      sdram_top_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P25,,,GND,,,,,,,,,,,,
P26,sdram_addr<7>,IOB,IO_L37N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P27,sdram_addr<6>,IOB,IO_L37P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,sdram_addr<5>,IOB,IO_L36N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P30,sdram_addr<4>,IOB,IO_L36P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P31,,,VCCO_3,,,3,,,,,2.50,,,,
P32,sdram_addr<3>,IOB,IO_L2N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P33,sdram_addr<2>,IOB,IO_L2P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P34,sdram_addr<1>,IOB,IO_L1N_VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P35,sdram_addr<0>,IOB,IO_L1P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P36,,,VCCAUX,,,,,,,,2.5,,,,
P37,,,PROGRAM_B_2,,,,,,,,,,,,
P38,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
P39,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
P40,,IOBS,IO_L64N_D9_2,UNUSED,,2,,,,,,,,,
P41,,IOBM,IO_L64P_D8_2,UNUSED,,2,,,,,,,,,
P42,,,VCCO_2,,,2,,,,,2.50,,,,
P43,,IOBS,IO_L62N_D6_2,UNUSED,,2,,,,,,,,,
P44,,IOBM,IO_L62P_D5_2,UNUSED,,2,,,,,,,,,
P45,,IOBS,IO_L49N_D4_2,UNUSED,,2,,,,,,,,,
P46,,IOBM,IO_L49P_D3_2,UNUSED,,2,,,,,,,,,
P47,,IOBS,IO_L48N_RDWR_B_VREF_2,UNUSED,,2,,,,,,,,,
P48,,IOBM,IO_L48P_D7_2,UNUSED,,2,,,,,,,,,
P49,,,GND,,,,,,,,,,,,
P50,,IOBS,IO_L31N_GCLK30_D15_2,UNUSED,,2,,,,,,,,,
P51,,IOBM,IO_L31P_GCLK31_D14_2,UNUSED,,2,,,,,,,,,
P52,,,VCCINT,,,,,,,,1.2,,,,
P53,,,VCCAUX,,,,,,,,2.5,,,,
P54,,,GND,,,,,,,,,,,,
P55,,IOBS,IO_L30N_GCLK0_USERCCLK_2,UNUSED,,2,,,,,,,,,
P56,,IOBM,IO_L30P_GCLK1_D13_2,UNUSED,,2,,,,,,,,,
P57,,IOBS,IO_L14N_D12_2,UNUSED,,2,,,,,,,,,
P58,,IOBM,IO_L14P_D11_2,UNUSED,,2,,,,,,,,,
P59,,IOBS,IO_L13N_D10_2,UNUSED,,2,,,,,,,,,
P60,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
P61,,IOBS,IO_L12N_D2_MISO3_2,UNUSED,,2,,,,,,,,,
P62,,IOBM,IO_L12P_D1_MISO2_2,UNUSED,,2,,,,,,,,,
P63,,,VCCO_2,,,2,,,,,2.50,,,,
P64,,IOBS,IO_L3N_MOSI_CSI_B_MISO0_2,UNUSED,,2,,,,,,,,,
P65,,IOBM,IO_L3P_D0_DIN_MISO_MISO1_2,UNUSED,,2,,,,,,,,,
P66,sdram_clk,IOB,IO_L2N_CMPMOSI_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P67,wfifo_wr_en,IOB,IO_L2P_CMPCLK_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P68,,,GND,,,,,,,,,,,,
P69,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
P70,,IOBM,IO_L1P_CCLK_2,UNUSED,,2,,,,,,,,,
P71,,,DONE_2,,,,,,,,,,,,
P72,,,CMPCS_B_2,,,,,,,,,,,,
P73,,,SUSPEND,,,,,,,,,,,,
P74,wfifo_wr_data<15>,IOB,IO_L74N_DOUT_BUSY_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P75,wfifo_wr_data<14>,IOB,IO_L74P_AWAKE_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P76,,,VCCO_1,,,1,,,,,2.50,,,,
P77,,,GND,,,,,,,,,,,,
P78,wfifo_wr_data<13>,IOB,IO_L47N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P79,wfifo_wr_data<12>,IOB,IO_L47P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P80,wfifo_wr_data<11>,IOB,IO_L46N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P81,wfifo_wr_data<10>,IOB,IO_L46P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P82,wfifo_wr_data<9>,IOB,IO_L45N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P83,wfifo_wr_data<8>,IOB,IO_L45P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P84,wfifo_wr_data<7>,IOB,IO_L43N_GCLK4_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P85,wfifo_wr_data<6>,IOB,IO_L43P_GCLK5_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P86,,,VCCO_1,,,1,,,,,2.50,,,,
P87,wfifo_wr_data<5>,IOB,IO_L42N_GCLK6_TRDY1_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P88,wfifo_wr_data<4>,IOB,IO_L42P_GCLK7_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P89,,,VCCINT,,,,,,,,1.2,,,,
P90,,,VCCAUX,,,,,,,,2.5,,,,
P91,,,GND,,,,,,,,,,,,
P92,wfifo_wr_data<3>,IOB,IO_L41N_GCLK8_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P93,wfifo_wr_data<2>,IOB,IO_L41P_GCLK9_IRDY1_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P94,wfifo_wr_data<1>,IOB,IO_L40N_GCLK10_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P95,wfifo_wr_data<0>,IOB,IO_L40P_GCLK11_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P96,,,GND,,,,,,,,,,,,
P97,sdram_cas_n,IOB,IO_L34N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P98,sdram_ras_n,IOB,IO_L34P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P99,sdram_cke,IOB,IO_L33N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P100,rfifo_rd_ready,IOB,IO_L33P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P101,sdram_cs_n,IOB,IO_L32N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P102,rfifo_rd_en,IOB,IO_L32P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P103,,,VCCO_1,,,1,,,,,2.50,,,,
P104,s_rst_n,IOB,IO_L1N_VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P105,sdram_dqm<1>,IOB,IO_L1P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P106,,,TDO,,,,,,,,,,,,
P107,,,TMS,,,,,,,,,,,,
P108,,,GND,,,,,,,,,,,,
P109,,,TCK,,,,,,,,,,,,
P110,,,TDI,,,,,,,,,,,,
P111,rfifo_rd_data<14>,IOB,IO_L66N_SCP0_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P112,rfifo_rd_data<15>,IOB,IO_L66P_SCP1_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P113,,,GND,,,,,,,,,,,,
P114,sdram_dqm<0>,IOB,IO_L65N_SCP2_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P115,rfifo_rd_data<13>,IOB,IO_L65P_SCP3_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P116,rfifo_rd_data<12>,IOB,IO_L64N_SCP4_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P117,rfifo_rd_data<11>,IOB,IO_L64P_SCP5_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P118,rfifo_rd_data<10>,IOB,IO_L63N_SCP6_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P119,rfifo_rd_data<9>,IOB,IO_L63P_SCP7_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P120,rfifo_rd_data<8>,IOB,IO_L62N_VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P121,rfifo_rd_data<7>,IOB,IO_L62P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P122,,,VCCO_0,,,0,,,,,2.50,,,,
P123,rfifo_rd_data<6>,IOB,IO_L37N_GCLK12_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P124,rfifo_rd_data<5>,IOB,IO_L37P_GCLK13_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P125,,,VCCO_0,,,0,,,,,2.50,,,,
P126,rfifo_rd_data<4>,IOB,IO_L36N_GCLK14_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P127,rfifo_rd_data<3>,IOB,IO_L36P_GCLK15_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P128,,,VCCINT,,,,,,,,1.2,,,,
P129,,,VCCAUX,,,,,,,,2.5,,,,
P130,,,GND,,,,,,,,,,,,
P131,rfifo_rd_data<2>,IOB,IO_L35N_GCLK16_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P132,sdram_dq<15>,IOB,IO_L35P_GCLK17_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P133,rfifo_rd_data<0>,IOB,IO_L34N_GCLK18_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P134,rfifo_rd_data<1>,IOB,IO_L34P_GCLK19_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P135,,,VCCO_0,,,0,,,,,2.50,,,,
P136,,,GND,,,,,,,,,,,,
P137,sdram_dq<14>,IOB,IO_L4N_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P138,sdram_dq<13>,IOB,IO_L4P_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P139,sdram_dq<12>,IOB,IO_L3N_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P140,sdram_dq<11>,IOB,IO_L3P_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P141,sdram_dq<10>,IOB,IO_L2N_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P142,sdram_dq<9>,IOB,IO_L2P_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P143,sdram_dq<8>,IOB,IO_L1N_VREF_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P144,sdram_dq<7>,IOB,IO_L1P_HSWAPEN_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,UNLOCATED,NO,NONE,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
